
# Surface 0 of 1 surfaces

# Curve title: ""numerics/figures/profile1-1um-gnu.dat" using 1:2:3"
# IsoCurve 0, 65536 points
# x y z type
2.1176500e-01 3.9220000e-03 4.0382100e+00 4.03821 i
2.1568600e-01 3.9220000e-03 4.0235800e+00 4.02358 i
2.1960800e-01 3.9220000e-03 4.1011700e+00 4.10117 i
2.2352900e-01 3.9220000e-03 4.0794400e+00 4.07944 i
2.2745100e-01 3.9220000e-03 4.1002800e+00 4.10028 i
2.3137300e-01 3.9220000e-03 4.0572700e+00 4.05727 i
2.3529400e-01 3.9220000e-03 4.0781100e+00 4.07811 i
2.3921600e-01 3.9220000e-03 4.0918500e+00 4.09185 i
2.4313700e-01 3.9220000e-03 3.9566300e+00 3.95663 i
2.4705900e-01 3.9220000e-03 4.0767800e+00 4.07678 i
2.5098000e-01 3.9220000e-03 4.1543700e+00 4.15437 i
2.5490200e-01 3.9220000e-03 4.1184500e+00 4.11845 i
2.5882400e-01 3.9220000e-03 4.0825400e+00 4.08254 i
2.6274500e-01 3.9220000e-03 4.0821000e+00 4.0821 i
2.6666700e-01 3.9220000e-03 4.0107100e+00 4.01071 i
2.7058800e-01 3.9220000e-03 3.9464200e+00 3.94642 i
2.7451000e-01 3.9220000e-03 3.9459800e+00 3.94598 i
2.7843100e-01 3.9220000e-03 3.8746000e+00 3.8746 i
2.8235300e-01 3.9220000e-03 3.6187700e+00 3.61877 i
2.8627500e-01 3.9220000e-03 3.8311500e+00 3.83115 i
2.9019600e-01 3.9220000e-03 4.0080500e+00 4.00805 i
2.9411800e-01 3.9220000e-03 3.9437600e+00 3.94376 i
2.9803900e-01 3.9220000e-03 4.2696300e+00 4.26963 i
3.0196100e-01 3.9220000e-03 4.3472200e+00 4.34722 i
3.0588200e-01 3.9220000e-03 4.3396900e+00 4.33969 i
3.0980400e-01 3.9220000e-03 4.3321500e+00 4.33215 i
3.1372500e-01 3.9220000e-03 4.2820500e+00 4.28205 i
3.1764700e-01 3.9220000e-03 4.2177600e+00 4.21776 i
3.2156900e-01 3.9220000e-03 4.3095300e+00 4.30953 i
3.2549000e-01 3.9220000e-03 4.2736200e+00 4.27362 i
3.2941200e-01 3.9220000e-03 4.3583000e+00 4.3583 i
3.3333300e-01 3.9220000e-03 4.2940100e+00 4.29401 i
3.3725500e-01 3.9220000e-03 4.3006600e+00 4.30066 i
3.4117600e-01 3.9220000e-03 4.3144100e+00 4.31441 i
3.4509800e-01 3.9220000e-03 4.2926800e+00 4.29268 i
3.4902000e-01 3.9220000e-03 4.2780500e+00 4.27805 i
3.5294100e-01 3.9220000e-03 4.3698300e+00 4.36983 i
3.5686300e-01 3.9220000e-03 4.3977600e+00 4.39776 i
3.6078400e-01 3.9220000e-03 4.5037200e+00 4.50372 i
3.6470600e-01 3.9220000e-03 4.3543100e+00 4.35431 i
3.6862700e-01 3.9220000e-03 4.4886500e+00 4.48865 i
3.7254900e-01 3.9220000e-03 4.4172600e+00 4.41726 i
3.7647100e-01 3.9220000e-03 4.3529800e+00 4.35298 i
3.8039200e-01 3.9220000e-03 4.3738100e+00 4.37381 i
